id	x	y	z	radius	Sinapic acid	SLES	Kaurenoic Acid	Tryptophan
1m__BA10_01_915	1.38465	-1.7892419999999998	77.238632	0.6	0.0	64800.0	66036.0	35928.0
1m__BA11_01_916	2.399679	-4.1725650000000005	76.569717	0.6	0.0	61496.0	69884.0	91492.0
1m__BA12_01_917	2.474415	-0.342304	74.794861	0.6	292.0	99624.0	118344.0	237516.0
1m__BA1_01_906	2.178975	0.09660099999999999	73.691727	0.6	0.0	45580.0	62764.0	23412.0
1m__BA2_01_907	1.490879	-3.286875	77.311913	0.6	0.0	88460.0	105200.0	48852.0
1m__BA3_01_908	1.511025	-4.867563	76.819664	0.6	148.0	112468.0	98432.0	38376.0
1m__BA4_01_909	2.679497	-6.500312	74.04705799999999	0.5	600.0	73512.0	94960.0	52084.0
1m__BA5_01_910	1.3682889999999999	-7.431964999999999	74.559464	0.5	0.0	20616.0	80404.0	82876.0
1m__BA6_01_911	3.131984	-5.763782	73.36443299999999	0.5	312.0	34104.0	81952.0	49436.0
1m__BA7_01_912	3.298292	-4.483127	75.396538	0.5	164.0	38172.0	143324.0	48376.0
1m__BA8_01_913	3.537064	-2.1878900000000003	75.253853	0.5	244.0	70472.0	91952.0	57816.0
1m__BA9_01_914	2.210906	-6.285387	75.450172	0.6	180.0	84212.0	86196.0	64236.0
1m__BB10_01_927	2.037204	0.026762	70.988823	0.6	0.0	7840.0	91804.0	119676.0
1m__BB11_01_928	3.391454	-2.3675610000000002	71.2257	0.3	140.0	21968.0	157584.0	382204.0
1m__BB12_01_929	3.583561	-2.436124	71.81926	0.3	608.0	40588.0	36316.0	379284.0
1m__BB1_01_918	3.8516150000000002	-2.592428	72.329758	0.3	476.0	50836.0	139476.0	86660.0
1m__BB2_01_919	1.205165	0.6197739999999999	72.569412	0.6	104.0	79628.0	169808.0	86116.0
1m__BB3_01_920	1.315968	0.385577	74.73761	0.6	0.0	70700.0	98232.0	65964.0
1m__BB4_01_921	3.689372	-3.727873	73.24981700000001	0.6	0.0	73100.0	127476.0	76048.0
1m__BB5_01_922	3.6319190000000003	-2.041932	73.215714	0.6	304.0	61036.0	139868.0	106560.0
1m__BB6_01_923	3.4608510000000003	-1.6917080000000002	72.424545	0.6	548.0	49824.0	56424.0	89700.0
1m__BB7_01_924	3.325945	-1.52691	71.77735899999999	0.6	0.0	50432.0	66712.0	91392.0
1m__BB8_01_925	3.278347	-1.591972	71.175781	0.6	0.0	58128.0	65696.0	203224.0
1m__BB9_01_926	3.7068760000000003	-2.479231	70.586487	0.3	0.0	9656.0	15112.0	46556.0
1m__BC10_01_939	3.415051	-3.4806800000000004	71.499084	0.3	320.0	21804.0	13356.0	578896.0
1m__BC11_01_940	1.14504	-7.640083	72.056099	0.3	260.0	13644.0	2188.0	409440.0
1m__BC12_01_941	1.971772	-7.242906	71.984016	0.3	856.0	25904.0	6172.0	357324.0
1m__BC1_01_930	2.733041	-6.644182000000001	71.961952	0.3	0.0	38424.0	74564.0	168476.0
1m__BC2_01_931	3.2964559999999996	-3.47531	70.315163	0.3	0.0	20140.0	44948.0	131888.0
1m__BC3_01_932	3.036981	-2.151883	69.998924	0.6	0.0	15756.0	27028.0	136012.0
1m__BC4_01_933	3.1069869999999997	-3.3691419999999996	69.28875	0.3	0.0	17488.0	15728.0	154520.0
1m__BC5_01_934	3.3090589999999995	-5.009129	71.586563	0.3	500.0	15344.0	9956.0	139012.0
1m__BC6_01_935	2.994891	-5.793235	71.38960300000001	0.3	0.0	17648.0	16396.0	215112.0
1m__BC7_01_936	2.3652759999999997	-6.4263069999999995	71.243095	0.3	244.0	19368.0	5288.0	704896.0
1m__BC8_01_937	1.655893	-6.774621000000001	71.114494	0.3	704.0	17664.0	7744.0	371796.0
1m__BC9_01_938	0.888669	-7.1504259999999995	71.307373	0.3	148.0	7628.0	12364.0	167244.0
1m__BD10_01_951	3.0060729999999998	-5.999480999999999	71.941826	0.3	400.0	13276.0	20072.0	3834208.0
1m__BD11_01_952	0.8798469999999999	-7.740431	70.134415	0.3	908.0	22660.0	15088.0	6156020.0
1m__BD12_01_953	1.232712	-6.882225999999999	70.059387	0.3	820.0	8296.0	6484.0	2645688.0
1m__BD1_01_942	0.724924	-7.927846000000001	69.65727199999999	0.2	0.0	20808.0	8436.0	213636.0
1m__BD2_01_943	1.065978	-7.6363970000000005	72.646622	0.3	0.0	13428.0	18208.0	3744504.0
1m__BD3_01_944	1.496165	-6.684984	69.64945999999999	0.3	464.0	17972.0	14132.0	399756.0
1m__BD4_01_945	0.9505870000000001	-7.603791	73.59736600000001	0.3	844.0	27260.0	16740.0	2268384.0
1m__BD5_01_946	1.9531580000000002	-7.214603	73.504013	0.3	944.0	14104.0	10560.0	576688.0
1m__BD6_01_947	1.9100279999999998	-7.2779229999999995	72.89135	0.3	704.0	24004.0	5396.0	358876.0
1m__BD7_01_948	2.531619	-6.744437	72.813965	0.3	936.0	14976.0	14296.0	2299768.0
1m__BD8_01_949	0.8438559999999999	-7.471957000000001	70.754936	0.3	328.0	11928.0	8384.0	591956.0
1m__BD9_01_950	1.204018	-6.892567999999999	70.64743	0.3	176.0	8940.0	2724.0	243508.0
1m__BE10_01_963	1.950448	-6.532792	70.46151	0.3	620.0	14908.0	5216.0	4337360.0
1m__BE11_01_964	0.814131	-7.239896000000001	69.622681	0.2	1252.0	20004.0	0.0	1791528.0
1m__BE12_01_965	1.212957	-6.340148	67.86747	0.2	0.0	31260.0	3080.0	3716780.0
1m__BE1_01_954	2.564956	-5.938165000000001	69.898399	0.3	836.0	11240.0	11044.0	3769828.0
1m__BE2_01_955	3.126696	-4.8452980000000005	70.225716	0.3	688.0	9064.0	5368.0	2765892.0
1m__BE3_01_956	0.725363	-7.162425	69.13421600000001	0.2	768.0	8680.0	8972.0	1476800.0
1m__BE4_01_957	1.350278	-6.761959	68.981392	0.2	956.0	20040.0	14524.0	2629892.0
1m__BE5_01_958	0.6459	-7.1411929999999995	68.795609	0.2	908.0	4636.0	11572.0	168844.0
1m__BE6_01_959	1.004003	-6.966688	68.750854	0.2	732.0	4800.0	9424.0	252212.0
1m__BE7_01_960	0.7382989999999999	-6.9145	68.426514	0.2	784.0	4884.0	15144.0	554928.0
1m__BE8_01_961	1.191645	-6.628489999999999	68.478241	0.2	832.0	5592.0	25260.0	809628.0
1m__BE9_01_962	0.45717399999999997	-6.580128	67.97573100000001	0.2	744.0	5752.0	1352.0	5526496.0
1m__BF10_01_975	2.381793	-5.512265	69.024925	0.3	380.0	28096.0	1868.0	1696272.0
1m__BF11_01_976	2.566423	-1.614846	66.632416	0.3	752.0	26900.0	7824.0	2448816.0
1m__BF12_01_977	1.0264950000000002	-3.1129	65.31626899999999	0.3	968.0	37996.0	12820.0	2273416.0
1m__BF1_01_966	2.067908	0.34425900000000004	68.48793	0.6	640.0	36396.0	23836.0	4236488.0
1m__BF2_01_967	3.052176	-4.530485	69.407639	0.3	1104.0	35628.0	16368.0	4592572.0
1m__BF3_01_968	0.8712280000000001	-6.545687	67.26342	0.3	928.0	9948.0	13600.0	453732.0
1m__BF4_01_969	2.003644	-5.427262000000001	67.925697	0.3	1424.0	21008.0	20536.0	1767088.0
1m__BF5_01_970	2.6737610000000003	-4.3852519999999995	68.28958100000001	0.3	852.0	14792.0	5952.0	1306648.0
1m__BF6_01_971	1.42266	-5.824337	67.045013	0.3	1044.0	28784.0	13064.0	2338732.0
1m__BF7_01_972	1.212853	-3.914797	66.998985	0.3	1112.0	26616.0	9628.0	2923616.0
1m__BF8_01_973	2.589686	-2.14165	67.738037	0.3	980.0	19524.0	15100.0	1984636.0
1m__BF9_01_974	1.975553	-2.679666	66.589966	0.3	796.0	20072.0	12020.0	2762172.0
1m__BG10_01_987	1.2008510000000001	1.14	67.672104	0.75	1408.0	34904.0	9484.0	2858032.0
1m__BG11_01_988	6.913446	1.212353	64.90218399999999	0.75	1784.0	39792.0	6376.0	2580864.0
1m__BG12_01_989	5.4431709999999995	-0.11219100000000001	65.904427	0.75	2076.0	24728.0	4372.0	1957468.0
1m__BG1_01_978	4.176557	-0.818904	66.344482	0.75	5048.0	40012.0	14912.0	1302492.0
1m__BG2_01_979	2.790867	0.753188	67.358284	0.75	660.0	50340.0	9868.0	2468924.0
1m__BG3_01_980	1.141606	1.9448349999999999	66.51679200000001	0.75	532.0	31340.0	20540.0	1759932.0
1m__BG4_01_981	3.5548910000000005	1.5469709999999999	66.526703	0.75	360.0	42136.0	19816.0	2462752.0
